SBrightlanelat,SBrightlanelon,SBmiddlelanelat,SBmiddlelanelon,SBleftlanelat,SBleftlanelon,NBleftlanelat,NBleftlanelon,NBmiddlelanelat,NBmiddlelanelon,NBrightlanelat,NBrightlanelon
46.4043681321,11.30171,46.4043662547,11.3019896639,46.4043681321,11.30171,46.4043681321,11.30171,46.4043625,11.3018794118,46.4043681321,11.30171
46.404462,11.3017745378,46.4043662547,11.3020515126,46.404462,11.3017745378,46.404462,11.3017745378,46.4043625,11.3019439496,46.404462,11.3017745378
46.404462,11.3018744958,46.4044657547,11.3020546639,46.404462,11.3018744958,46.404462,11.3018744958,46.404462,11.3019444118,46.404462,11.3018744958
46.4045615,11.3019390336,46.4044657547,11.3021192017,46.4045615,11.3019390336,46.4045615,11.3019390336,46.404462,11.3020089496,46.4045615,11.3019390336
46.4045819722,11.301841,46.4045670833,11.3021287311,46.4045819722,11.301841,46.4045819722,11.301841,46.4045615,11.3020157899,46.4045819722,11.301841
46.404662,11.3018894034,46.4045670833,11.3021905798,46.404662,11.3018894034,46.404662,11.3018894034,46.4045615,11.3020803277,46.404662,11.3018894034
46.4047625,11.3020913193,46.4047625,11.3023763613,46.4047625,11.3020913193,46.4047625,11.3020913193,46.4047625,11.3022177059,46.4047625,11.3020913193
46.4048645,11.3021585462,46.4047625,11.3024382101,46.4048645,11.3021585462,46.4048645,11.3021585462,46.4047625,11.3022768655,46.4048645,11.3021585462
46.405065,11.3022903193,46.4050761111,11.3024409076,46.405065,11.3022903193,46.405065,11.3022903193,46.405065,11.3023360336,46.405065,11.3022903193
46.405165,11.3023575462,46.4050761111,11.3025000672,46.405165,11.3023575462,46.405165,11.3023575462,46.405065,11.3024005714,46.405165,11.3023575462
